iter	Logloss
0	0.6508847401
1	0.6104260103
2	0.5723523932
3	0.5380973599
4	0.5045535853
5	0.4734009644
6	0.443761736
7	0.4166385601
8	0.3924950827
9	0.3682482634
10	0.3467355884
11	0.3293048883
12	0.3096578526
13	0.2925496733
14	0.2782701362
15	0.2633417316
16	0.248329474
17	0.2357414071
18	0.2233731127
19	0.211775306
20	0.2006643423
21	0.1909954589
22	0.1828714521
23	0.1748062159
24	0.1671834368
25	0.1595080266
26	0.1535702309
27	0.1466094065
28	0.1407698463
29	0.134729518
30	0.1291056423
31	0.1236178506
32	0.1184033329
33	0.1139753361
34	0.1097352861
35	0.1057813343
36	0.1019867715
37	0.09890933374
38	0.09558776333
39	0.09226934768
40	0.08958498622
41	0.08714482843
42	0.08441162987
43	0.08205289154
44	0.07985546398
45	0.07731172
46	0.0754171475
47	0.07344230715
48	0.07151096768
49	0.06958797184
50	0.06777288588
51	0.06575178451
52	0.06419836321
53	0.06246418127
54	0.06071377442
55	0.05912609764
56	0.0577618351
57	0.05624880022
58	0.0550594723
59	0.0539497491
60	0.05297142065
61	0.05201941139
62	0.05115437477
63	0.05014697093
64	0.04917604265
65	0.04840231059
66	0.04737172611
67	0.04664085633
68	0.04590623228
69	0.0452586705
70	0.04456736985
71	0.04381093267
72	0.04302051656
73	0.04238277797
74	0.04180242849
75	0.04123518053
76	0.04061142922
77	0.03992800435
78	0.0397164464
79	0.03912286935
80	0.0388641805
81	0.03841865291
82	0.03804135076
83	0.03738292796
84	0.03684802156
85	0.03644593321
86	0.03638025764
87	0.03597185379
88	0.03559384378
89	0.03525730815
90	0.03495361226
91	0.03475362362
92	0.03461152131
93	0.03417897199
94	0.03413832696
95	0.03385669963
96	0.03372020147
97	0.03355670452
98	0.03350907454
99	0.03337373054
100	0.03320126879
101	0.03309770615
102	0.03305792452
103	0.03289371548
104	0.03285543777
105	0.03274323111
106	0.03240178545
107	0.03236845842
108	0.03229861748
109	0.03226202182
110	0.03210928866
111	0.03207838622
112	0.03180909778
113	0.03168580602
114	0.03165118408
115	0.03160667463
116	0.0315808399
117	0.03155735449
118	0.03147395721
119	0.03139740564
120	0.03123985844
121	0.03106136832
122	0.03096565244
123	0.03085498474
124	0.0305219635
125	0.03047993334
126	0.03039539239
127	0.03015647761
128	0.03009571412
129	0.02992385209
130	0.02975780143
131	0.02965809337
132	0.02963244947
133	0.02959200498
134	0.02947970595
135	0.02945681226
136	0.02941967565
137	0.02918251829
138	0.02901231252
139	0.02875514574
140	0.02872125428
141	0.02862928
142	0.02855444689
143	0.02850829435
144	0.02833094002
145	0.02825749225
146	0.02813107004
147	0.02798905575
148	0.02779792657
149	0.02777681634
150	0.02768177505
151	0.02752092805
152	0.02746295144
153	0.02742937311
154	0.02739778579
155	0.02739223901
156	0.02738136027
157	0.02720675425
158	0.02714132795
159	0.02708783043
160	0.02707800567
161	0.02692881048
162	0.02677224936
163	0.026674231
164	0.02663133585
165	0.02630953666
166	0.02627960601
167	0.02617130143
168	0.02598357189
169	0.02597007913
170	0.02585139658
171	0.02558958309
172	0.02534588457
173	0.02533031884
174	0.0251844705
175	0.02510874156
176	0.02509337799
177	0.02498832241
178	0.02490044206
179	0.02464924671
180	0.02441102126
181	0.02439966394
182	0.02437126612
183	0.02436093824
184	0.02418659785
185	0.02402424452
186	0.02397829011
187	0.02389459804
188	0.02361791041
189	0.02351748425
190	0.02345302621
191	0.02340301272
192	0.02339448773
193	0.02334468702
194	0.02331643219
195	0.02329271908
196	0.02327082746
197	0.02311599941
198	0.02311031782
199	0.02285614365
200	0.0226461297
201	0.02254906145
202	0.02248047012
203	0.0224510824
204	0.0222497552
205	0.02222063696
206	0.02220959326
207	0.02216728431
208	0.02206340901
209	0.02203012113
210	0.02198975438
211	0.02181032149
212	0.0217617423
213	0.0216938347
214	0.02158256735
215	0.02151613878
216	0.02142527568
217	0.02142085431
218	0.02140085521
219	0.02134650596
220	0.02128050538
221	0.02124317453
222	0.02111781676
223	0.02102167872
224	0.02087322165
225	0.02073346607
226	0.02060101859
227	0.02046871438
228	0.02030392684
229	0.02018491939
230	0.02006526323
231	0.01991791343
232	0.01988321162
233	0.01965865907
234	0.01958956678
235	0.01958244265
236	0.0194266961
237	0.01940949169
238	0.01939414698
239	0.01929883193
240	0.01925646565
241	0.01912176607
242	0.01911648327
243	0.01908592678
244	0.01903445048
245	0.01898813771
246	0.01885160683
247	0.01884430898
248	0.01877965883
249	0.0186847075
250	0.01857057558
251	0.01853188061
252	0.01847850564
253	0.01835271322
254	0.01826207313
255	0.01822139962
256	0.01821529211
257	0.01814412145
258	0.01805910351
